eTFC1	eTFC2	eTFC3	eTFC4	eTFC5	eTHC1	eTHC2	eTHC3	eTHC4	eTHC5	lTFC1	lTFC2	lTFC3	lTFC4	lTFC5	lTHC1	lTHC2	lTHC3	lTHC4	lTHC5
WLS	0.0271990341949611	-1.95799890172432	0.362758420211488	0.62610239945786	0.941939047860007	-0.074219442184333	-0.593122523038232	0.506119437210522	-1.04808002778043	1.20930255579247	-1.7434812560981	-1.39032940134657	-0.344721606214854	0.564041296020864	2.91449096763866	-0.550999839844462	-0.1624186995321	-0.7741346155575	0.534868525104994	0.952684629829072
WISP1	0.139208276234057	-0.235387018613593	-0.00386764590852762	0.325737580632915	-0.225691192344851	0.375744823607211	0.493132845165308	0.10008348053875	-0.288066283354416	-0.680894865956853	0.386483239219059	0.360898812882108	-0.227210369481411	-0.468058474227522	-0.0521132083922349	0.494218212119617	-0.480444015749767	0.101054262922392	-0.836781509994326	0.721953050702085
WIF1	2.88431306838535	-1.96661458201349	-3.13105348215077	-0.489291557003321	2.70264655278223	3.38159331649093	-2.51505551558111	-3.36716819775487	-0.985687350541827	3.48631774738687	2.65473996437347	-0.943707432391248	-0.815406195669816	-2.01353543597491	1.11790909966251	1.98913677176243	0.132812504847164	-1.40982783976814	-1.74736110930867	1.03523967246723
WHRN	0.0175375016946853	-0.473483622897931	0.474014922761895	0.267152097826786	-0.285220899385435	-0.183750222168238	0.242976381832356	0.237103717123352	0.0188676884098959	-0.315197565197367	0.318529300744338	0.0607351155213656	0.0305026211685601	-0.145474477729767	-0.264292559704497	0.387187905552143	-0.11916044608008	0.0130735795339362	-0.0855937510124094	-0.19550728799359
WFIKKN2	0.0547497144402952	0.125538830960613	-0.273681881177422	0.133528095370304	-0.0401347595937899	-0.291611742731105	-0.0343442690777102	0.14741511749501	0.0672349320479715	0.111305962265834	-0.302045516885847	-0.0153398664357727	-0.0377604473113434	0.253177435629627	0.101968395003336	-0.259813558891664	0.134550688980782	0.382950042286872	0.0021263865156752	-0.259813558891664
WDR48	-0.0577373339093992	-0.0941554216899618	-0.163950949728462	0.00451819912529494	0.311325506202529	-0.118637344319053	-0.280746937236936	0.309728128276812	-0.109991632066376	0.199647785345552	-0.283053990643405	0.150191549676328	0.37079628172128	-0.0186120698590262	-0.219321770895175	0.0803704739811639	-0.040320025453652	-0.121082636530786	-0.0116502541574901	0.0926824421607622
WDR43	0.167489288048809	-0.237936033724479	-0.178525447939911	0.0355952920312763	0.213376901584301	0.123963380713233	-0.240608927241869	0.341269854308903	0.175886351623546	-0.40051065940381	-0.138093045670828	0.098409710197938	0.161087307892402	-0.0188726335327729	-0.102531338886735	0.131905667611838	-0.417617486662902	0.139631019530217	-0.100750902225521	0.246831701746364
WDR4	-0.0200447476498624	-0.214137929702427	0.00673632484706133	0.0964232538611736	0.131023098644055	0.245617607496625	-0.052088467448848	-0.0497585872652264	-0.0278294906199301	-0.11594106216262	0.00350255018001899	0.176186994564602	-0.0151087094265181	0.0144891366627675	-0.17906997198087	-0.056597526906514	-0.218606632096059	0.106212342523924	-0.151255941465102	0.32024775794375
WDR35	0.0407657320735586	-0.305857523403378	0.243832351635119	-0.0198302279649454	0.0410896676596471	0.0912028337126674	-0.193081221618236	0.0757418032346036	-0.0481357777682012	0.0742723624391677	0.102305943888649	0.190302143495254	-0.202205553187758	-0.132081897295259	0.0416793630991119	0.198593491324567	0.0290529683983438	-0.176342441616789	-0.144451710953422	0.0931476928473005
WDR11	-0.619928617631226	-1.0094009459338	0.628879778611719	0.562716791203762	0.437732993749546	-0.815553442707976	-0.0432340269686309	0.143550624493989	0.521844100647638	0.193392744534979	-0.421167732071969	-0.325090876348125	0.286757790860756	0.455993371643202	0.00350744591613505	-0.00548531162357513	0.142413757901896	0.05655088413494	-0.298410512090249	0.104931181676989
WASF1	-0.080725811245145	0.20627601563973	-0.156497480673296	0.0929291176495761	-0.0619818413708648	-0.066721437258626	0.220708510845077	-0.218400371601456	-0.0314571073718692	0.095870405386874	-0.273376783753807	-0.141451391533401	0.309933467113021	0.280973456596306	-0.176078748422121	-0.251050460544786	0.276355366889592	0.249068388614647	-0.133462868122712	-0.14091042683674
WARS2	-0.0927920788862231	-0.198689471889172	-0.403712594412542	0.234288874381744	0.460905270806195	-0.132137439512266	-0.168321625901034	-0.0609225444367931	0.0991769342433049	0.262204675606788	-0.0465605791541535	-0.280297506799021	-0.0764338598781382	-0.0147334259209835	0.418025371752296	0.123345967300811	-0.481078287977134	-0.0550830010417442	0.0941616790169935	0.318653642701075
WAPL	-0.184047988875406	-0.482221717953156	0.0432001895014658	0.215971309233984	0.40709820809311	-0.200646804524382	-0.16032603048634	0.265367315637899	0.218556913042072	-0.122951393669247	-0.552129361671484	-0.0704368238780786	0.0311532126728915	0.274042808436656	0.317370164440016	0.275141954492126	-0.222581436067889	-0.229608389978268	-0.046346725329161	0.223394596883194
VWA2	0.0757340527326635	-0.0723697159198837	-0.00474302618766864	-0.0615532210729051	0.0629319104477937	0.315098501183558	-0.0450006656614887	-0.0141450490932153	-0.11329962405901	-0.142653162369844	0.25819564534027	-0.303661530658318	0.113755164377276	-0.0217343399687613	-0.0465549390904669	0.240419966247704	-0.310965140230131	0.0363786858468866	-0.110824756491031	0.144991244626573
