eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
WFIKKN2	0.110531960031719	0.116665196950201	-0.22719715698192	1.72113225313044	-0.387908313238901	-0.0301252879213929	-0.345653295666825	-0.957445356303319	0.235800376728829	-0.310589890549239	0.0747895138204102	-0.551410890154766	0.271686736966372	0.322262399770473	0.842486100470364	-0.885024347052443
WDR48	0.0479527563777218	0.176429732917505	-0.224382489295226	-0.440022905603275	0.258313424363988	0.90115743697112	-0.310249596375753	-0.409198359356079	-0.302798391091615	0.165440506219388	0.137357884872228	-0.307688455195128	0.516069992219718	0.0881830878177627	0.0604108600338069	-0.356975484876159
WDR43	0.0114591594155993	0.112159929164104	-0.123619088579701	-0.44294871767163	-0.0994714767356992	0.621976846727662	0.0376033329925676	-0.117159985312902	0.148795799841578	-0.075772382464466	-0.0730234173771116	-0.689688327492888	0.505624397498433	0.46892348735453	-0.754212833506184	0.469353276146107
WDR4	-0.170581859676938	0.216673978030369	-0.0460921183534309	-0.222502092062172	-0.407830669265941	0.266560327244775	0.0938153841822498	0.269957049901086	0.253540633488141	-0.22489896060909	-0.0286416728790506	-0.442288111112887	0.204432493543063	-0.0789318932920402	0.284906103407055	0.0318814074548097
WDR35	-0.146909984492478	0.290179619099713	-0.143269634607236	-0.383311322126427	-0.236686861790295	0.495145189804983	0.163181320716891	-0.0383283266051535	-0.27409007967167	0.0810934243942061	0.192996655277463	-0.198910821373301	0.45468457961407	-0.0743383652708451	-0.150754944874948	-0.0306804480949769
WDR11	0.0479807781638657	0.106371032520802	-0.154351810684668	-0.292963532055011	0.144471419894435	0.551383780887968	0.240653620938081	-0.643545289665472	-0.269304577522046	0.291638569914475	-0.0223339923924284	-0.50183021087081	0.0404391117189178	0.165817954708245	0.460609418236283	-0.165036273792636
WASF1	-0.248503977166752	-0.0610433423276979	0.30954731949445	-0.381376275780193	0.142342437503979	0.272367448624086	0.302800618870172	-0.336134229218044	-0.352999742185384	0.0229552899096612	0.330044452275723	0.250320172462796	0.170526510240648	-0.0641761772844571	-0.52151892931824	0.164848423899253
WARS2	0.355663727127324	-0.353346659694598	-0.00231706743272575	-0.36726674496024	0.0999374700734625	-0.337155563801195	0.610198037771986	-0.00571319908401158	-0.413411925495913	0.256335143274191	0.157076782221722	-0.336287113753114	-0.570577962232881	0.600221811425065	0.440604838798136	-0.133961574237206
WAPL	-0.248428304288176	0.152860212221094	0.0955680920670829	-0.28999034547933	0.00235601802350693	0.672944163355501	-0.0132597701416097	-0.372050065758067	-0.4471806655629	0.361847376962027	0.0853332886008742	-0.253511035304716	-0.0768275392001163	0.369388478922123	0.26069370742157	-0.29974361183886
VWA2	0.104372779567373	-0.0298715904430442	-0.0745011891243283	-0.315563511076409	-0.588540627128903	0.394722856939234	0.269694434939352	0.239686846326726	0.00365929187780978	-0.233386790930068	0.229727499052258	-0.0698510119442304	-0.531480570269335	-0.146928884668794	-0.223585321669185	0.971845788551544
VTN	0.100623583686196	-0.585111583021573	0.484487999335377	0.373648720043488	-0.0920069311395832	-0.855376489176231	-0.188159941321096	0.761894641593423	0.295821513807193	-0.191226107726783	-0.104595406080411	0.843365677091863	-0.749164375135983	0.364639062483306	-0.149177429627692	-0.309662934811495
VSTM2A	0.022194797558052	0.171574700427389	-0.193769497985441	-0.328646694298926	0.232407103000292	-0.186185183606214	-0.366429158402687	0.648853933307534	0.542767723194256	-0.842976455540588	0.300208732346332	-0.488906570956014	0.147611363274702	1.10007701073829	-0.43078068250303	-0.328001120553953
VSNL1	0.0230282494247334	0.397197653658691	-0.420225903083425	0.0781544136324652	0.31615226545423	0.442082007517315	-0.163752584630421	-0.67263610197359	0.272949876101613	0.512957245323668	-0.78590712142528	-0.513682621034789	0.158622499864017	0.74619934040732	0.0360465615077259	-0.427185780744274
VPS72	0.545097715754865	-0.257741649338847	-0.28735606641602	0.870223150129	-0.607129051298958	-0.573078561316182	-0.0190745093355709	0.329058971821711	0.687111751904474	-0.323801191018326	-0.363310560886147	1.67927375590821	-0.273640855377517	-0.0546921024019031	-1.09243012681876	-0.258510671310027
VLDLR	-0.859719888239605	-0.460143846965379	1.31986373520498	-0.530108469807759	-1.14705691568322	-0.819895648822459	0.0100444651046674	2.48701656920877	-0.748755935280828	0.500735698171965	0.248020237108864	-3.38031817322838	3.14473122662218	0.932311538323033	0.241313521846619	-0.938038113563459
VIT	0.585749442940465	-0.948451045396523	0.36270160245606	-0.0739332511305522	-0.0930071682353422	-0.0575087511442947	-0.168305243033518	0.392754413543708	0.683525144508002	-1.0308784239728	0.347353279464798	3.52365510427778	-1.60438056593062	-1.55337290655236	-2.58349233221527	2.21759070042047
VIPR2	-0.270021832195969	0.162358047850272	0.107663784345698	0.0743902226574245	0.120717892038643	0.414407420103864	-0.517443464001303	-0.0920720707986287	-0.511972865121686	0.643803183254401	-0.131830318132715	-1.01645402804772	0.0178841666449068	0.0751027107432614	0.289498723394691	0.63396842726486
VIP	-0.214881997987608	0.94824365806429	-0.733361660076682	-0.21926863508649	0.38684959804246	-0.758157104994689	0.432787436955103	0.157788705083615	-0.229400050492242	-1.45652876241422	1.68592881290646	-0.915169434259652	-0.188553988511353	0.620631419366885	-0.166096856334122	0.649188859738241
VIM	3.66561139063994	-5.70339942335902	2.03778803271909	8.47755003492077	-0.844670703074499	-8.6368158612762	-6.34019611952245	7.34413264895235	1.61095786491248	1.48227783173814	-3.09323569665061	34.5898502782472	-10.6848138787085	-16.2597003637189	-25.2129813202317	17.5676452844119
VILL	0.625986337351696	-0.259593276896857	-0.366393060454838	0.134393229653488	0.463176694692357	-0.283258579943723	-0.451805447917385	0.137494103515266	0.303666956549238	0.00763751239778987	-0.311304468947029	2.38905094525891	-1.17014911665495	-1.77762276981982	-1.02443135131024	1.5831522925261
VGLL3	0.473890648918158	-0.2940991867222	-0.179791462195958	1.01875304353722	-0.300465633402863	-0.340254322993286	-0.039831755235133	-0.338201331905937	-0.777737417627543	0.599441081490435	0.178296336137108	-0.188746159511374	-0.935964507140238	-0.608873434689607	1.14374875737107	0.589835343970149
VEGFD	-0.917845526043926	0.242912878928218	0.67493264711571	2.99361438231937	-0.546917054870979	-1.65727424955911	-1.55540796058344	0.765984882694163	0.967554570963587	-0.308160051249523	-0.659394519714063	2.03341017690678	-1.51386830349064	-1.69076311284365	-0.181841422714244	1.35306266214175
VEGFC	0.148191928446207	0.114222974068704	-0.26241490251491	0.571399044126034	-0.186418186854107	-0.448003393743772	-0.240028315437617	0.303050851909464	0.000690227304147584	0.441638923584604	-0.442329150888753	0.269526081031404	0.603946596427662	-0.685566490689518	0.323553311066959	-0.511459497836507
