eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
WDR11	-0.00988215391727465	-0.0587977100583572	0.0686798639756327	-0.173575570886608	0.0681828943941731	0.105392676492434	-0.397665711406051	-0.0474461582192172	0.445111869625269	-0.165560509602176	-0.111102459606068	0.276662969208244
WASF1	0.00457676772446369	-0.162931129982876	0.158354362258412	0.0232612897399598	0.550776404826875	-0.574037694566834	-0.35960113240427	0.226977404607416	0.132623727796854	-0.0355552950752092	0.0274643850304388	0.00809091004476947
WARS2	-0.00445062055516043	-0.0657825307073647	0.0702331512625252	-0.0800521485433743	-0.141923138242512	0.221975286785887	0.115513094151586	-0.134065916576179	0.018552822424593	-0.447815241870062	0.12525424511993	0.322560996750132
WAPL	-0.218640131214068	-0.0116657141247014	0.230305845338771	-0.475186668524319	0.563563365869109	-0.0883766973447901	-0.149707252918706	0.0272597635921024	0.122447489326602	-0.649571823544802	0.0812316268664475	0.568340196678353
VWA2	0.278323134805217	-0.0385105738235714	-0.239812560981646	-0.495713402086512	0.345374972508362	0.15033842957815	-0.0405976698368944	0.274217522109599	-0.233619852272705	-0.348243659172391	-0.0157278541943171	0.363971513366709
VTN	0.888053656863102	0.0246700502651256	-0.912723707128228	0.1164483423128	-0.348363731540709	0.231915389227909	-0.0339458154230108	0.306346222495766	-0.272400407072755	0.305924878257635	0.0906557154863548	-0.39658059374399
VSTM2A	0.93756274514077	-0.744061949263033	-0.193500795877737	0.0512366413464318	-0.787613852484263	0.736377211137831	1.37620002706338	-0.190511543233749	-1.18568848382963	-0.894430245131124	-0.295302394793045	1.18973263992417
VSNL1	0.00157690675643229	-0.501496735963995	0.499919829207563	-0.380614123653804	-0.101049743505179	0.481663867158983	-0.265163530094733	0.231536506073216	0.0336270240215166	-0.0687981730800367	-0.404743527385398	0.473541700465435
VPS72	0.634412781531815	-0.148249262654659	-0.486163518877159	1.33408551888117	-1.13030244004236	-0.203783078838818	0.21334790895169	0.249118359426195	-0.462466268377888	1.31793425828315	-0.506630756044764	-0.811303502238378
VLDLR	1.55093974057427	-0.489133959699123	-1.06180578087515	-0.306972212627629	-0.287244793548226	0.594217006175855	1.0451620297554	-1.14070458967299	0.0955425599175905	-0.751286530585596	-0.17017394902674	0.921460479612337
VIT	1.67195531219024	-1.06913394257467	-0.602821369615571	-0.424017600989443	-0.493266131514923	0.917283732504366	-0.367181044660006	0.656293282332577	-0.289112237672573	-0.429648847744492	-1.01307216927677	1.44272101702126
VIPR2	1.1402964359583	-0.00638641470003098	-1.13391002125827	0.574322117249021	0.029797966314606	-0.604120083563627	0.869779222875929	-1.16480765464858	0.295028431772648	-0.0944588131011281	0.127331803343242	-0.0328729902421134
VIP	1.16445592040598	0.176517897775821	-1.3409738181818	0.738380732773663	-0.598486351131918	-0.139894381641746	0.467579997458378	0.265283391590483	-0.732863389048861	-0.0091737024767311	0.174529561300402	-0.165355858823672
VIM	4.15028303726525	-2.21506722751155	-1.9352158097537	-3.88506621962343	-3.33591120221232	7.22097742183575	1.89686946285393	-2.96822932075088	1.07135985789695	1.42556211559977	-0.554272673005471	-0.871289442594318
VILL	1.59573862073423	-0.32380667432246	-1.27193194641177	0.626051541965507	-0.435551107245049	-0.190500434720457	1.79332690399124	-0.333294804785249	-1.46003209920599	0.0520197270937093	-0.221993992963091	0.169974265869381
VGLL3	1.45395883442612	-0.613034096276752	-0.840924738149363	0.089821277839115	-0.0634282290524659	-0.0263930487866495	0.907100859410191	-0.674110323130385	-0.232990536279805	-0.633057508243326	-0.114015021536801	0.747072529780128
