eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
VANGL2	0.128373492573777	-0.163844087175884	0.0354705946021046	0.361557775785444	0.463600833143591	-0.51944743441868	-0.305711174510359	1.0908896539899	-0.89697439714551	-0.193915256844384	0.196484217800119	0.194276492647136	-0.382447600131989	-0.00831311031526383
UXS1	-0.300018028041745	-0.0220907561765173	0.322108784218262	-0.383944878276449	0.190367669854936	-0.0325545334083381	0.226131741829851	0.712691785335302	-0.27194445418104	-0.440747331154263	-0.240319263355407	0.0649135959736924	0.185568828013931	-0.0101631606322172
UTRN	0.0377816714744892	0.142388402207042	-0.180170073681532	0.2598968257374	-0.21548650897972	-0.140462092833328	0.0960517760756474	-0.758154928867675	0.525623512670692	0.232531416196983	0.433092239379395	0.0324647527452786	-0.740379614889263	0.274822622764589
UTP6	0.331175962224766	-0.379957149022685	0.0487811867979193	-0.389783680603156	0.194674203022982	-0.181032139243463	0.376141616823634	-0.376637530039373	0.0176288727829164	0.359008657256457	0.0342456742517889	-0.142176157529043	-0.251142331848527	0.359072815125783
UST	-1.20538256943176	0.70882030480854	0.496562264623219	-0.972293555531277	0.289703460809332	0.354512777198972	0.328077317522971	0.0891325012758299	-0.879525444304112	0.790392943028282	-0.351894048337071	-0.296870203826832	0.451261410065174	0.197502842098729
USP25	0.207639398467512	-0.115716218601444	-0.0919231798660674	-0.191813952945653	-0.0131964626052072	-0.14337062590334	0.3483810414542	-0.523395201275315	0.00684584450370274	0.516549356771614	0.0817495646750386	-0.140421963609408	-0.101218908750752	0.15989130768512
USP16	-0.0175123211137223	-0.0316148988408855	0.0491272199546078	-0.477887367237157	-0.0967973175591386	0.351922508563598	0.222762176232699	0.288131247836235	-0.201935315951456	-0.0861959318847809	0.422769690491736	0.12376323188313	-0.17015490074801	-0.376378021626859
USP1	0.0184449287250228	0.12100570715042	-0.139450635875443	-0.983769917839906	0.472775096432601	-0.0496855653554089	0.560680386762712	0.754875093627243	-0.615416299131839	-0.139458794495404	0.245396316736461	0.0777701308672984	-0.229367736481507	-0.0937987111222505
UROS	-0.0796926437835124	-0.0527643639114599	0.132457007694971	0.0204360841228812	0.0690785105246601	-0.166480063645538	0.0769654689979973	0.00541486775187128	-0.258102190322376	0.252687322570504	0.0212682911552804	-0.00861040049387096	-0.148025947075391	0.135368056413981
URB1	-0.0049589523659872	-0.0412435784020833	0.0462025307680713	0.72523541564416	-0.565908553076498	-0.303306616161931	0.14397975359427	-0.658487678831876	0.181311337647464	0.477176341184412	0.168546861210046	0.0818101599855083	-0.46066872891646	0.210311707720904
UNC5D	-0.244837487133267	-0.168135299706178	0.412972786839445	-0.199509099093952	-0.820568745314922	0.154330186983827	0.865747657425046	-0.422924650757279	0.00554091012774505	0.417383740629534	0.0198717554998339	0.0967717795553257	0.247276450644831	-0.36391998569999
UNC5C	1.31303703318881	-1.28351055867444	-0.0295264745143662	2.82538178796088	0.103357583311366	-1.30391558337528	-1.62482378789697	3.07296951182165	-1.264046620546	-1.80892289127566	0.566508495647444	0.762580167258975	-0.851191449540082	-0.477897213366336
UNC5B	0.511441760434046	0.122999060070045	-0.634440820504092	-0.38426085787136	1.02187370902187	0.0168256563084368	-0.65443850745895	1.08364366297115	-0.257285565461806	-0.826358097509345	0.294412676900189	-0.045574134279148	-0.696514417781412	0.447675875160375
UMPS	0.501663447268097	0.0203614511147325	-0.522024898382831	0.8143632482399	0.381942254349294	-0.562377868171891	-0.633927634417303	0.128425779269461	-0.0644840482696889	-0.0639417309997707	-0.116794116052242	-0.0513714726748482	0.0508177104554903	0.117347878271604
UHRF1	0.380758646127315	0.30815762828111	-0.688916274408427	-1.20963707040401	0.374527074408006	0.467539650883309	0.367570345112696	0.110307604669169	-0.6487271308521	0.538419526182933	0.64364840136507	0.28942832365979	-0.825732791069738	-0.107343933955118
UGP2	-0.271772284127985	0.0240304622353609	0.247741821892623	0.272354158401958	-0.228520989812166	-0.0160168040785589	-0.0278163645112297	0.493483729016308	-0.130223712706877	-0.363260016309429	-0.254997787005765	-0.0663335194406383	0.212642874832866	0.10868843161354
UGDH	-0.226833557395134	0.0681683835817317	0.158665173813404	0.562229873971274	-0.320851947292613	-0.178798882068524	-0.0625790446101355	-0.0886046052202367	0.189727418749499	-0.101122813529264	0.0981363385522727	0.145207829743532	-0.0954981892324263	-0.14784597906338
UCK2	0.0241226607602112	0.51492373368893	-0.539046394449139	-0.0924630833117011	0.179844091438387	-0.440173877254489	0.352792869127805	-0.627458186062226	0.511453923054559	0.116004263007669	-0.408052248969796	0.0812211981425524	0.12622930560029	0.200601745226956
UCHL3	0.559147511457901	-0.789409780285759	0.230262268827854	0.310242165424185	0.0548812825357672	-0.0345058936723923	-0.33061755428756	-3.00724255565406	1.33656313795466	1.6706794176994	0.597656030909612	-0.278431620582388	0.201502096791799	-0.520726507119019
UCHL1	-2.94611553105594	-0.627726536273492	3.57384206732943	-0.738018097677333	-0.664597707797899	-0.295721382181164	1.6983371876564	-4.09010621906631	1.84758954506858	2.24251667399773	-2.22244624144574	-1.50775457691466	2.87619037134831	0.854010447012099
