data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
ADAM12	32.3990055721488	20.8828083190301	22.4914202335023	21.2885280496741	18.1425452132321
TCL1B3	0	0	0	0	0
ATP4B	0	0	0	0	0
GOSR2	156.681006551707	159.260380262953	156.481272331367	160.465651094157	154.934545968575
PUDP	0	0.0353209191865275	0	0.00863876269984695	0
TMEM42	6.98379413745921	8.75800268703614	8.22240060087009	8.44287303385115	8.6838057601192
CALHM3	0	0	0	0	0
ITGB1BP2	3.19189683102968	3.45880268962708	2.75257158851341	3.67537939800566	2.50870038419388
OLFR979	0	0	0	0	0
OLFR570	0	0	0	0	0
CCNDBP1	42.4651140100763	45.3078367003629	43.7594612859902	47.9860987339812	42.5180612056364
BPNT1	29.1132271090706	31.5301010834882	32.9247785515567	32.1605056592566	30.916176157276
TRIM3	52.0794159638435	45.3618493976573	45.628623419059	42.413227622948	46.8005244084287
SLC35G2	1.08606497670801	0.482180911321177	0.536558484313771	0.787372043610564	0.942065253321757
SULT2A5	0	0	0	0	0
GOT1	36.4988002656413	34.1548828253291	36.0603475760043	39.5022385001495	41.1075982558012
PEBP4	0	0	0	0.181114510349179	0.0111396734724173
MRPL37	89.288302892662	87.1031240316922	84.5343405365679	82.0283916492588	87.3971278525304
BC031181	55.3533438150779	64.2357521960448	62.3899097813499	66.840380783518	60.6950105872677
SULT3A1	0	0	0	0	0
CALHM1	0	0	0	0	0
1810020O05RIK	0.0141327882908142	0.0446014224178732	0	0.00861400979812819	0
SLC39A6	181.584031044094	185.387512517626	191.955246410185	187.336529832354	194.766674986618
IRF5	3.65659431125682	1.86242288502647	2.01741362267402	2.0592085212729	1.33030440736506
ABHD5	36.7579198849191	39.963284601404	40.6678323617947	44.2842790193165	34.8572192021845
H2-DMB1	0.808698455114719	0.521497813649072	0.641808528872516	0.89303358138931	0.979279952110544
MSRB1	24.8613712218948	24.1097734931237	24.0265519653251	25.9504168967764	22.9213830695259
TCEA2	27.326053801067	25.0069496451302	22.7302832784811	24.2247291738418	26.6190669185186
ICA1	14.7060162719434	16.0984744044197	15.0264990082941	16.5434758581417	15.1188514626861
EIF3M	165.395614663807	166.436737975112	170.070460075333	180.482930433687	173.19030433459
XNDC1	43.4559644334881	37.1525397495158	36.8736946834488	30.8471485575511	38.426221245757
AXIN2	280.294369482226	206.529201545575	197.116345346008	198.07988214383	210.897178336065
TXN1	206.780134282454	199.057034882229	190.442805503454	203.265241443415	216.388044518815
PPP1R1C	0.0140790003239605	0.0865650043869147	0.0528328385921319	0.078620759321707	0.0332918309960636
MVK	35.6972594714425	32.9652212477489	34.5734119795594	39.512704704974	38.0043873837917
DNAJB3	4.36339063968807	4.91004807297503	3.649398690234	4.95569675104927	4.41584855166513
CNOT2	240.78088592645	252.331404558302	259.930888674106	251.425741793621	241.453765457126
IL6	0.182732606844716	0.101636476747153	0	0.0528268186988531	0.0136442769022718
CHIL5	0.0291931794061152	0.0569016480781732	0.0343471691386928	0	0.0136442769022718
UNKL	44.3282131765739	46.2218356916469	45.4385470265458	43.3161436968064	42.4857971523123
KCTD15	169.483351152969	164.993438532605	174.443914426385	182.043619208094	181.296972098956
MRGPRA6	0	0	0	0	0
TECTB	0	0	0	0	0
GPRC5B	71.7400997681292	77.6425470236009	79.2165418097692	77.1659298796218	75.2433937037137
CUTAL	0.0842335636080597	0.0956380163675767	0.0740656487229329	0.109218609691526	0.139462628906317
MPHOSPH6	32.6131109364617	33.3382010079507	36.5668600118671	36.6464154238388	37.9046458899518
RPS13	447.744111573283	422.937501092195	388.880450035877	426.472868393978	424.783807125914
OLFR711	0	0	0	0	0
ACOT8	14.8445435619096	12.5556314179058	12.1183609046157	13.1058147577383	11.7464546662866
TM4SF20	0	0	0	0	0
MB	0.429145137117122	0.543710082995198	0.303878805948099	0.343656321510619	0.251156222473606
METTL2	53.3233149327625	50.9685000241296	51.7599452771908	50.8641480124009	57.513666148151
TIA1	631.020820515443	679.4774363779	660.530923628325	551.775284726837	612.250669372027
SNX3	154.200299845067	131.816958953584	129.113154467907	146.407306080324	139.930019910003
SPATA4	0	0	0	0	0
CCS	28.6697873072426	28.1124125642757	26.1700025273928	29.3419869117273	26.8473680850995
H2-M1	0	0	0	0	0
TMCO3	58.2532715303582	60.6856592225459	59.711414582912	61.6735471593585	54.8378939588322
FCGRT	22.7623379876659	12.9057016367259	12.05580716913	13.9576836490801	11.7649909199003
RIDA	20.0390562382135	21.6022176963466	20.4850723261932	18.9948302553802	20.2583117676111
ABCC5	219.940728517116	232.795999297941	233.559943859255	198.726171316834	193.13838662245
3110082I17RIK	20.5108412151959	16.4170241586459	17.423963882047	17.7462754804355	16.5683119439768
BAIAP2L2	9.2675526280581	8.84179771219102	7.39320949927955	7.05787542349256	6.29235119270316
ACACA	184.741685497674	185.617466289246	197.153040313648	180.758463188372	195.799744711057
GNB1	751.599784166715	725.642904593851	739.446916469387	762.376656336632	765.584347844596
SNX12	61.4894750287975	62.8141012065269	63.1939467545429	62.9631703210237	62.7274436662175
OLFR524	0	0	0	0	0
RBM12	94.1919429201418	92.8149284844798	94.7963589571559	84.9517163820092	98.5667666996197
POLR1A	121.499698122357	118.644469503155	125.631491660098	130.195442232771	129.855399588683
RPL3	1058.24167468007	1025.15584617215	1011.98475855181	1066.52620970829	1049.36700686947
KLRA7	0	0	0	0	0
