data$Gene	bud_OF	bud_OH	eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
PITHD1	71.59972311	99.39316382	80.19990055	79.09418112	85.22669998	72.4876211	73.45204144	65.35291718	81.74284702	81.80923951	66.83341635	62.7972736	65.68063312	69.38578276	69.16253196	64.37319397	69.47221158	65.8288689
PITPNA	80.49617036	69.23811085	39.87960942	40.93744137	37.66534222	51.87363435	60.22904731	71.1637047	52.74764249	57.47014027	54.72427939	79.12189922	77.3134542	37.6340492	81.92379622	76.04494616	62.73922552	52.08943896
PITPNB	139.3957616	96.64480199	58.69305444	61.95427453	53.41284964	67.46277484	80.88344746	81.28587897	71.66743133	69.49236995	93.72879477	99.28028264	93.76817644	58.63283099	82.56192884	87.37679387	87.70026364	74.66412098
PITPNM1	8.582193039	7.645196365	11.96144107	12.10225178	14.09386848	15.15596446	12.86777537	13.64214785	9.995653613	14.1206796	14.76234239	17.79451356	15.06303899	10.57337288	12.6478632	12.63007204	14.74256792	12.90077969
PITPNM2	6.351076859	4.048866544	13.12864425	22.36822092	15.40958121	17.71404192	20.33436975	28.19902206	21.2548183	19.15788972	16.93772614	21.63297216	19.11687273	15.50975463	18.64722539	17.70754579	17.64866029	15.98274229
PITPNM3	1.334196873	0.208256062	2.239135884	2.464727421	2.076943419	6.114316481	3.426789291	4.672388056	4.917809176	6.576381061	5.226034802	5.862243518	4.725269748	4.11023374	5.462263812	4.733538699	4.884773552	4.664229324
PITRM1	65.37240472	55.51620062	25.29815072	27.13059617	20.71410168	22.78503331	28.14513609	34.431129	29.73847661	23.70520829	26.96828213	27.56694297	28.53113342	20.03904763	27.78368233	27.89779792	26.25490263	27.58558472
PIWIL2	0.501559292	0.141511924	4.699856096	4.991226893	4.525773497	5.009546794	4.693145066	5.095297939	5.293920479	3.919814455	2.293708604	2.65685805	2.727607014	1.708054642	1.743834094	1.324191136	3.798531602	2.172972188
PKD1	3.460587033	1.394471714	2.146019633	2.685978173	2.371208659	3.243198277	4.585261662	8.977476264	5.614142223	5.843670692	4.111917569	7.44068679	6.275165921	1.336448167	6.865826524	6.115886114	5.619314015	3.026152728
PKD2	9.113368245	5.024480748	14.96562101	16.03420863	16.43230546	15.27084354	19.10321645	24.71451732	24.49078685	18.87829249	23.11347604	36.10743972	39.0564057	14.78295636	35.37892432	30.39081788	26.95323466	22.26430385
PKD2L1	0	0	0	0	0	0	0	0	0	0.079802655	0	0	0	0	0	0	0	0.074947344
PKD2L2	0.135134416	0.166403857	0.184722283	0.088064088	0.093587545	0	0.202764786	0.247435991	0.360147504	0	0.217491884	0.639283986	0.099096529	0	0	0	0	0.095250948
PKDCC	32.45349104	4.887808051	4.007049756	3.252760085	3.574231586	25.58007928	25.23542503	26.6614078	30.32029279	26.39458477	31.75506205	30.59415585	44.09107254	40.76604139	34.67706258	44.26316529	79.14905328	56.03580715
