data$Gene	bud_EF	bud_EH	eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
GALNTL6	2.42008635877299	3.17501882404845	5.52980100398165	4.35774779996913	7.10253402857886	5.66867084944972	4.19412756781579	3.59520143281257	4.34861971387004	4.96510095721888	4.47601486739818	4.42283697872102	4.42906171471904	6.12127243320742
GALR1	2.63806769438514	5.98737968021262	9.85196312287682	7.91178978102827	4.24751880210314	7.90257850315837	7.62853354173244	6.24575401314204	12.1423694301319	9.4074560662751	4.68182904090883	8.79553833721949	7.01101715888417	9.81871918432845
GALR2	0	0	0.476652364663749	0	0.156489651707727	0	0	0	0.687665796411398	0	0.960447693202281	0	0	0
GALR3	0.561928013509364	0.672948227406507	1.57557820333481	2.24751814541973	1.46790897269345	0.786786772530539	0.865097045233575	1.0955925860989	1.83148453598453	2.33673866465271	1.56407203422442	1.01189428652141	0.437652638451457	1.01815283170591
GALT	51.2740386437263	41.6023704145239	74.0177232313872	63.8126763855749	65.4576179834015	36.7818469057201	29.5167153390358	33.9971798146142	54.4173230985582	68.4228020483941	60.517678275897	34.0331301334405	42.2250434882943	44.0285793529001
GAMT	38.2631057601724	18.9010443967591	14.834691591148	6.94315491985197	12.9782539212335	12.183824088779	12.4562798861847	23.5456723651452	57.5293384566027	44.0289916394425	50.1577955080416	51.2940233731472	57.0159747243478	46.5513085763852
GAN	6.69230673025084	5.33639811086769	14.0389262690907	15.6855020378296	16.3810155020141	10.0412095877201	9.61755188449307	9.62276998093964	9.66464384043253	10.6694444186143	13.5535669147322	10.2625826855786	11.1867957932769	13.3113926327552
GANC	21.2628080106649	24.2967215663412	57.4215282558907	62.7704062947498	68.6147449943166	37.3555772950363	40.9155979844567	47.2406489404109	66.8647138718811	74.3203758963033	76.8308389366928	40.8721012960507	45.3942691167826	49.1280141845376
GAP43	1.06722021363224	1.12774701815873	0.574684278741799	0.827251504717202	0.461344435736953	1.58272918848317	1.31614981518055	4.59499024848875	3.55164653135721	2.22233554118466	5.22562445610285	3.57380594958109	11.0279792619787	4.06306204304571
GAPDH	1929.76144276113	1893.32966495197	938.860262971023	1164.23936267638	1127.96246001935	1797.39533816749	1655.07816038313	1455.77568937467	808.387696179182	818.588995523139	673.162693880729	1406.53460039092	1455.80020583076	1150.32474206449
